precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,b,b1,b2,b3,c,d,e,f,g,"PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA USR PLUS-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","VOLOŞENIUC ŞTEFAN-CANDIDAT INDEPENDENT-voturi"
43,STRĂINĂTATE,KABUL,1,AFGANISTAN,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",68,0,68,0,68,0,68,0,600,532,68,0,0,3,3,10,27,0,10,9,3,3
43,STRĂINĂTATE,KANDAHAR,2,AFGANISTAN,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",168,0,168,0,168,0,168,0,600,432,166,2,0,10,5,47,35,4,38,22,1,4
43,STRĂINĂTATE,PRETORIA,3,"AFRICA DE SUD",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",41,0,41,0,41,0,41,0,400,359,41,0,0,1,1,9,15,0,13,2,0,0
43,STRĂINĂTATE,"CAPE TOWN",4,"AFRICA DE SUD",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",31,0,31,0,31,0,31,0,200,169,31,0,0,1,0,7,12,0,10,0,0,1
43,STRĂINĂTATE,TIRANA,5,"REPUBLICA ALBANIA",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",22,0,22,0,22,0,22,0,400,378,22,0,0,4,1,3,7,0,6,1,0,0
43,STRĂINĂTATE,ALGER,6,ALGERIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",16,0,16,0,16,0,16,0,402,386,16,0,0,1,0,3,4,0,7,1,0,0
43,STRĂINĂTATE,LUANDA,7,ANGOLA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",6,0,6,0,6,0,6,0,200,194,6,0,0,0,0,1,4,0,1,0,0,0
43,STRĂINĂTATE,RIAD,8,"REGATUL ARABIEI SAUDITE",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",39,0,39,0,39,0,39,0,600,561,37,2,0,0,0,3,22,0,11,0,1,0
43,STRĂINĂTATE,"BUENOS AIRES",9,ARGENTINA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",15,0,15,0,15,0,15,0,200,185,15,0,0,1,0,5,4,0,2,0,3,0
43,STRĂINĂTATE,EREVAN,10,ARMENIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",11,0,11,0,11,0,11,0,200,189,11,0,0,0,1,1,3,0,4,2,0,0
43,STRĂINĂTATE,CANBERRA,11,AUSTRALIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",13,0,13,0,13,0,13,0,600,587,13,0,0,0,1,2,6,0,2,0,2,0
43,STRĂINĂTATE,MELBOURNE,12,AUSTRALIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",139,0,139,0,139,0,139,0,1000,861,138,1,0,3,7,5,60,0,56,5,1,1
43,STRĂINĂTATE,ADELAIDE,13,AUSTRALIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",41,0,41,0,41,0,41,0,1000,959,38,3,0,1,3,1,20,0,12,1,0,0
43,STRĂINĂTATE,PERTH,14,AUSTRALIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",92,0,92,0,92,0,92,0,1000,908,92,0,0,0,8,1,35,0,38,4,5,1
43,STRĂINĂTATE,SYDNEY,15,AUSTRALIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",129,0,129,0,129,0,129,0,1600,1471,129,0,0,0,3,2,75,4,31,11,2,1
43,STRĂINĂTATE,BRISBANE,16,AUSTRALIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",77,0,77,0,77,0,77,0,1600,1523,77,0,0,3,7,3,36,1,18,6,3,0
43,STRĂINĂTATE,AUCKLAND,17,"NOUA ZEELANDA",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",93,0,93,0,93,0,93,0,998,905,91,2,0,0,5,7,58,0,14,2,1,4
43,STRĂINĂTATE,"VIENA 1",18,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,"VIENA 2",19,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",923,0,923,0,923,0,923,0,3500,2577,921,1,1,14,59,32,305,16,203,265,14,13
43,STRĂINĂTATE,"VIENA 3",20,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",340,0,340,0,340,0,340,0,7000,6660,333,4,3,4,11,9,156,6,72,66,4,5
43,STRĂINĂTATE,"VIENA 4",21,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",382,0,382,0,382,0,382,0,7000,6618,379,2,1,7,10,5,196,10,66,70,6,9
43,STRĂINĂTATE,"VIENA 5",22,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",732,0,732,0,732,0,732,0,7000,6268,728,4,0,8,29,32,485,7,111,45,7,4
43,STRĂINĂTATE,"VIENA 6",23,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",540,0,540,0,540,0,540,0,7000,6460,535,1,4,7,26,10,213,3,102,161,7,6
43,STRĂINĂTATE,KLAGENFURT,24,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",305,0,305,0,305,0,305,0,7000,6695,302,1,2,0,22,5,79,3,62,124,2,5
43,STRĂINĂTATE,"SALZBURG 1",25,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",305,0,305,0,305,0,305,0,7000,6695,302,2,1,6,17,14,103,9,48,96,4,5
43,STRĂINĂTATE,"SALZBURG 2",26,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",300,0,300,0,300,0,300,0,7000,6700,299,1,0,6,8,8,104,3,45,115,6,4
43,STRĂINĂTATE,"SANKT POLTEN",27,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",396,0,396,0,396,0,396,0,7000,6604,392,0,4,17,19,10,83,3,88,160,2,10
43,STRĂINĂTATE,INNSBRUCK,28,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",308,0,308,0,308,0,308,0,7000,6692,305,1,2,6,10,9,119,3,34,103,4,17
43,STRĂINĂTATE,"LINZ 1",29,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",662,0,662,0,662,0,662,0,7000,6338,657,3,2,10,45,25,197,9,139,207,8,17
43,STRĂINĂTATE,"LINZ 2",30,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,EISENSTADT,31,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",299,0,299,0,299,0,299,0,7000,6701,296,3,0,10,19,8,76,5,87,82,2,7
43,STRĂINĂTATE,"GRAZ 1",32,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",666,0,666,0,666,0,666,0,7000,6334,663,0,3,12,50,18,148,9,162,247,4,13
43,STRĂINĂTATE,"GRAZ 2",33,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",482,0,482,0,482,0,482,0,7002,6520,478,3,1,11,36,15,99,9,127,168,6,7
43,STRĂINĂTATE,BREGENZ,34,AUSTRIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",204,0,204,0,204,0,204,0,7000,6796,203,1,0,2,4,4,82,0,39,64,1,7
43,STRĂINĂTATE,BAKU,35,AZERBAIDJAN,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",22,0,22,0,22,0,22,0,200,178,22,0,0,1,1,1,11,0,6,2,0,0
43,STRĂINĂTATE,MINSK,36,"REPUBLICA BELARUS",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",22,0,22,0,22,0,22,0,200,178,20,1,1,0,4,5,2,0,9,0,0,0
43,STRĂINĂTATE,"BRUXELLES 1",37,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",589,0,589,0,589,0,589,0,6000,5411,580,6,3,12,32,21,186,5,121,177,16,10
43,STRĂINĂTATE,"BRUXELLES 2",38,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",1432,0,1432,0,1432,0,1432,0,6000,4568,1415,10,7,26,79,56,439,8,336,419,23,29
43,STRĂINĂTATE,"BRUXELLES 3",39,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",391,0,391,0,391,0,391,0,6000,5609,387,3,1,4,14,18,234,2,71,34,7,3
43,STRĂINĂTATE,"BRUXELLES 4",40,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",96,0,96,0,96,0,96,0,6002,5906,95,1,0,3,7,1,47,1,21,9,0,6
43,STRĂINĂTATE,"BRUXELLES 5",41,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",457,0,457,0,457,0,457,0,6000,5543,455,1,1,5,24,18,153,2,100,133,11,9
43,STRĂINĂTATE,"BRUXELLES 6",42,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",678,0,678,0,678,0,678,0,6000,5322,671,7,0,9,24,25,470,7,86,30,14,6
43,STRĂINĂTATE,"BRUXELLES 7",43,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",288,0,288,0,288,0,288,0,6000,5712,286,1,1,6,15,6,140,0,50,63,2,4
43,STRĂINĂTATE,"BRUXELLES 8",44,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",845,0,845,0,845,0,845,0,6000,5155,840,5,0,9,58,33,260,7,145,294,13,21
43,STRĂINĂTATE,"ANTWERP 1",45,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",480,0,480,0,480,0,480,0,6000,5520,476,1,3,6,15,16,198,2,56,161,5,17
43,STRĂINĂTATE,"ANTWERP 2",46,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",467,0,467,0,467,0,467,0,6000,5533,463,4,0,3,17,5,166,3,84,159,8,18
43,STRĂINĂTATE,BRUGES,47,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",932,0,932,0,932,0,932,0,6000,5068,887,40,5,6,44,16,330,11,130,321,15,14
43,STRĂINĂTATE,CHARLEROI,48,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",227,0,227,0,227,0,227,0,6000,5773,225,1,1,5,8,8,67,2,40,83,8,4
43,STRĂINĂTATE,GEEL,49,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",409,0,409,0,409,0,409,0,6000,5591,403,2,4,6,19,14,64,10,73,202,5,10
43,STRĂINĂTATE,GENT,50,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",311,0,311,0,311,0,311,0,6000,5689,309,1,1,3,12,9,135,7,55,82,2,4
43,STRĂINĂTATE,HASSELT,51,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",176,0,176,0,176,0,176,0,6000,5824,0,0,0,0,0,0,0,0,0,0,0,0
43,STRĂINĂTATE,LIEGE,52,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",314,0,314,0,314,0,314,0,6000,5686,311,1,2,2,19,7,138,0,66,62,3,14
43,STRĂINĂTATE,MONS,53,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",177,0,177,0,177,0,177,0,3000,2823,175,2,0,5,8,6,90,0,33,25,4,4
43,STRĂINĂTATE,NAMUR,54,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",111,0,111,0,111,0,111,0,6000,5889,111,0,0,0,14,2,51,1,22,15,0,6
43,STRĂINĂTATE,"BRUXELLES 9",55,BELGIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",335,0,335,0,335,0,335,0,6000,5665,332,2,1,6,24,14,125,2,63,82,10,6
43,STRĂINĂTATE,SARAJEVO,56,"BOSNIA SI HERTEGOVINA",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",44,0,44,0,44,0,44,0,202,158,43,0,1,3,1,12,12,0,11,0,2,2
43,STRĂINĂTATE,BRASILIA,57,BRAZILIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",4,0,4,0,4,0,4,0,200,196,4,0,0,0,0,0,1,0,3,0,0,0
43,STRĂINĂTATE,"RIO DE JANEIRO",58,BRAZILIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",13,0,13,0,13,0,13,0,400,387,13,0,0,1,0,2,4,0,2,1,3,0
43,STRĂINĂTATE,SOFIA,59,BULGARIA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",106,0,106,0,106,0,106,0,4000,3894,104,2,0,5,7,17,42,0,22,3,4,4
43,STRĂINĂTATE,OTTAWA,60,CANADA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",158,0,158,0,158,0,158,0,1000,842,158,0,0,3,10,5,61,2,66,8,2,1
43,STRĂINĂTATE,QUEBEC,61,CANADA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",27,0,27,0,27,0,27,0,600,573,27,0,0,0,2,0,15,0,6,1,0,3
43,STRĂINĂTATE,CALGARY,62,CANADA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",186,0,186,0,186,0,186,0,1400,1214,186,0,0,2,17,4,71,4,68,13,3,4
43,STRĂINĂTATE,DIEPPE,63,CANADA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",18,0,18,0,18,0,18,0,600,582,18,0,0,0,6,0,3,0,3,5,1,0
43,STRĂINĂTATE,MONTREAL,65,CANADA,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",437,0,437,0,437,0,437,0,1000,563,435,2,0,3,21,12,210,2,144,39,2,2
43,STRĂINĂTATE,"PRAGA 1",67,"REPUBLICA CEHA",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",233,0,233,0,233,0,233,0,8000,7767,232,1,0,5,5,5,150,1,35,27,1,3
43,STRĂINĂTATE,"PRAGA 2",68,"REPUBLICA CEHA",9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",212,0,212,0,212,0,212,0,8000,7788,210,2,0,2,8,3,149,0,24,19,2,3
43,STRĂINĂTATE,"SANTIAGO DE CHILE",69,CHILE,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",10,0,10,0,10,0,10,0,400,390,10,0,0,0,0,1,4,0,2,3,0,0
43,STRĂINĂTATE,COPIAPO,70,CHILE,9999,1,PROV,PRCNCT,S,S_SV_D,"2020-12-07 09:50:02",12,0,12,0,12,0,12,0,200,188,12,0,0,0,2,0,2,1,5,1,0,1
